"Category","Stock","Date","Price","Open","High","Low","Vol.","Change.."
"Automobile","Bajaj Auto","04-09-2024","10,963.70","11,012.00","11,029.85","10,908.90","324.25K","-0.72%"
"Automobile","Bajaj Auto","03-09-2024","11,043.65","11,105.95","11,118.70","11,015.00","217.39K","-0.74%"
"Automobile","Bajaj Auto","02-09-2024","11,126.10","10,926.00","11,154.10","10,912.15","787.11K","2.15%"
"Automobile","Bajaj Auto","30-08-2024","10,891.55","10,835.00","10,921.35","10,705.00","498.56K","0.77%"
"Automobile","Bajaj Auto","29-08-2024","10,807.85","10,582.05","10,850.00","10,555.40","693.51K","1.42%"
"Automobile","Bajaj Auto","28-08-2024","10,656.75","10,500.00","10,715.00","10,461.30","338.79K","1.48%"
"Automobile","Bajaj Auto","27-08-2024","10,501.60","10,401.00","10,568.45","10,350.00","262.40K","0.66%"
"Automobile","Bajaj Auto","26-08-2024","10,432.55","10,375.10","10,517.15","10,339.65","309.22K","0.25%"
"Automobile","Bajaj Auto","23-08-2024","10,406.45","9,970.00","10,444.35","9,930.00","1.23M","4.97%"
"Automobile","Bajaj Auto","22-08-2024","9,914.20","9,900.00","10,011.00","9,841.10","388.87K","0.63%"
"Automobile","Bajaj Auto","21-08-2024","9,852.00","9,779.10","9,869.00","9,735.00","134.99K","0.74%"
"Automobile","Bajaj Auto","20-08-2024","9,779.70","9,772.20","9,876.65","9,755.05","132.84K","0.09%"
"Automobile","Bajaj Auto","19-08-2024","9,770.65","9,926.95","9,944.00","9,759.30","148.30K","-1.19%"
"Automobile","Bajaj Auto","16-08-2024","9,888.15","9,788.00","9,925.00","9,693.95","240.19K","1.42%"
"Automobile","Bajaj Auto","14-08-2024","9,749.60","9,704.00","9,785.00","9,671.60","282.93K","0.81%"
"Automobile","Bajaj Auto","13-08-2024","9,671.60","9,700.00","9,789.85","9,650.00","161.71K","-0.40%"
"Automobile","Bajaj Auto","12-08-2024","9,710.85","9,741.00","9,750.95","9,615.00","307.70K","-0.56%"
"Automobile","Bajaj Auto","09-08-2024","9,765.95","9,761.00","9,775.00","9,614.00","161.64K","1.29%"
"Automobile","Bajaj Auto","08-08-2024","9,641.30","9,735.00","9,777.70","9,610.15","365.02K","-0.69%"
"Automobile","Bajaj Auto","07-08-2024","9,708.20","9,570.00","9,725.00","9,497.50","270.58K","2.98%"
"Automobile","Bajaj Auto","06-08-2024","9,427.40","9,515.25","9,620.00","9,400.00","246.54K","-0.61%"
"Automobile","Bajaj Auto","05-08-2024","9,485.05","9,396.20","9,520.00","9,369.30","310.76K","-1.36%"
"Automobile","Bajaj Auto","02-08-2024","9,616.20","9,714.80","9,730.00","9,581.75","230.62K","-1.17%"
"Automobile","Bajaj Auto","01-08-2024","9,730.50","9,844.00","9,844.00","9,662.00","308.66K","0.69%"
"Automobile","Bajaj Auto","31-07-2024","9,664.20","9,600.00","9,680.00","9,580.05","315.29K","1.04%"
"Automobile","Bajaj Auto","30-07-2024","9,564.35","9,550.65","9,654.00","9,512.00","301.89K","0.07%"
"Automobile","Bajaj Auto","29-07-2024","9,557.65","9,549.20","9,621.05","9,509.00","302.36K","0.68%"
"Automobile","Bajaj Auto","26-07-2024","9,492.90","9,319.00","9,505.00","9,268.45","250.96K","2.31%"
"Automobile","Bajaj Auto","25-07-2024","9,278.25","9,260.00","9,309.95","9,171.00","262.33K","0.19%"
"Automobile","Bajaj Auto","24-07-2024","9,260.20","9,360.00","9,372.70","9,250.00","283.21K","-1.30%"
"Automobile","Bajaj Auto","23-07-2024","9,382.50","9,435.00","9,508.00","8,744.60","431.99K","-0.29%"
"Automobile","Bajaj Auto","22-07-2024","9,409.70","9,350.00","9,435.00","9,263.20","247.04K","0.25%"
"Automobile","Bajaj Auto","19-07-2024","9,386.05","9,635.00","9,675.00","9,340.00","380.78K","-2.49%"
"Automobile","Bajaj Auto","18-07-2024","9,626.20","9,745.00","9,745.00","9,291.50","1.06M","-0.95%"
"Automobile","Bajaj Auto","16-07-2024","9,718.35","9,715.00","9,909.95","9,633.65","1.04M","0.47%"
"Automobile","Bajaj Auto","15-07-2024","9,673.35","9,430.75","9,738.50","9,403.95","504.09K","2.57%"
"Automobile","Bajaj Auto","12-07-2024","9,430.75","9,499.95","9,554.35","9,412.00","171.58K","-0.38%"
"Automobile","Bajaj Auto","11-07-2024","9,466.80","9,542.45","9,569.50","9,383.00","294.90K","-0.79%"
"Automobile","Bajaj Auto","10-07-2024","9,542.45","9,550.00","9,650.00","9,451.95","239.61K","0.09%"
"Automobile","Bajaj Auto","09-07-2024","9,534.10","9,565.00","9,565.00","9,481.20","262.91K","0.05%"
"Automobile","Bajaj Auto","08-07-2024","9,529.40","9,640.00","9,666.15","9,470.00","316.22K","-1.10%"
"Automobile","Bajaj Auto","05-07-2024","9,635.80","9,522.00","9,660.00","9,493.30","608.63K","1.85%"
"Automobile","Bajaj Auto","04-07-2024","9,460.85","9,479.90","9,499.00","9,420.35","234.66K","0.41%"
"Automobile","Bajaj Auto","03-07-2024","9,422.40","9,474.00","9,554.95","9,384.60","318.12K","0.22%"
"Automobile","Bajaj Auto","02-07-2024","9,401.25","9,520.00","9,532.40","9,381.10","287.88K","-1.38%"
"Automobile","Bajaj Auto","01-07-2024","9,532.40","9,505.00","9,693.95","9,505.00","289.36K","0.32%"
"Automobile","Bajaj Auto","28-06-2024","9,501.65","9,465.00","9,523.70","9,382.25","237.52K","0.89%"
"Automobile","Bajaj Auto","27-06-2024","9,417.45","9,564.65","9,564.65","9,365.65","637.63K","-0.60%"
"Automobile","Bajaj Auto","26-06-2024","9,474.65","9,659.90","9,660.30","9,441.50","431.22K","-1.92%"
"Automobile","Bajaj Auto","25-06-2024","9,659.95","9,755.00","9,825.00","9,645.00","282.05K","-0.88%"
"Automobile","Bajaj Auto","24-06-2024","9,745.25","9,580.00","9,758.95","9,510.55","283.75K","1.49%"
"Automobile","Bajaj Auto","21-06-2024","9,602.25","9,675.00","9,728.95","9,571.10","334.02K","-0.31%"
"Automobile","Bajaj Auto","20-06-2024","9,632.00","9,692.00","9,735.90","9,565.00","324.60K","-0.56%"
"Automobile","Bajaj Auto","19-06-2024","9,685.80","9,939.50","9,948.00","9,670.00","279.79K","-2.34%"
"Automobile","Bajaj Auto","18-06-2024","9,918.20","9,922.00","10,038.80","9,908.00","206.10K","-0.44%"
"Automobile","Bajaj Auto","14-06-2024","9,961.75","9,826.00","9,995.00","9,813.05","320.93K","0.39%"
"Automobile","Bajaj Auto","13-06-2024","9,923.40","9,904.00","9,940.00","9,825.25","277.78K","0.19%"
"Automobile","Bajaj Auto","12-06-2024","9,904.25","9,854.00","9,944.00","9,795.70","277.18K","0.93%"
"Automobile","Bajaj Auto","11-06-2024","9,812.70","9,740.00","9,900.00","9,700.10","457.44K","0.82%"
"Automobile","Bajaj Auto","10-06-2024","9,733.05","9,779.00","9,924.00","9,681.50","201.45K","0.08%"
"Automobile","Bajaj Auto","07-06-2024","9,725.55","9,643.60","9,740.10","9,615.00","246.78K","0.25%"
"Automobile","Bajaj Auto","06-06-2024","9,701.45","9,595.30","9,740.00","9,454.00","570.10K","1.03%"
"Automobile","Bajaj Auto","05-06-2024","9,602.25","9,241.00","9,679.00","9,176.00","489.54K","3.84%"
"Automobile","Bajaj Auto","04-06-2024","9,246.75","9,227.00","9,372.85","8,808.00","738.60K","-0.95%"
"Automobile","Bajaj Auto","03-06-2024","9,335.45","9,180.00","9,444.00","9,122.55","438.42K","2.76%"
"Automobile","Bajaj Auto","31-05-2024","9,084.75","8,990.00","9,125.50","8,923.00","560.01K","1.30%"
"Automobile","Bajaj Auto","30-05-2024","8,968.50","9,068.00","9,128.90","8,927.60","305.11K","-1.12%"
"Automobile","Bajaj Auto","29-05-2024","9,070.20","8,950.00","9,139.45","8,902.75","339.93K","0.89%"
"Automobile","Bajaj Auto","28-05-2024","8,989.75","8,998.70","9,022.25","8,916.20","259.09K","-0.10%"
"Automobile","Bajaj Auto","27-05-2024","8,998.70","9,002.00","9,069.45","8,881.70","301.75K","0.56%"
"Automobile","Bajaj Auto","24-05-2024","8,948.20","8,980.00","9,024.00","8,870.10","455.92K","-0.17%"
"Automobile","Bajaj Auto","23-05-2024","8,963.45","8,850.00","8,985.00","8,751.20","731.51K","1.79%"
"Automobile","Bajaj Auto","22-05-2024","8,805.55","8,850.00","8,850.00","8,736.00","302.84K","-0.17%"
"Automobile","Bajaj Auto","21-05-2024","8,820.70","8,775.00","8,860.00","8,775.00","417.80K","0.08%"
"Automobile","Bajaj Auto","18-05-2024","8,813.85","8,815.00","8,841.50","8,780.00","20.15K","0.38%"
"Automobile","Bajaj Auto","17-05-2024","8,780.70","8,891.00","8,958.35","8,765.50","323.96K","-1.03%"
"Automobile","Bajaj Auto","16-05-2024","8,871.85","8,950.00","8,955.55","8,710.00","680.47K","-0.35%"
"Automobile","Bajaj Auto","15-05-2024","8,903.15","9,069.00","9,125.00","8,877.35","274.39K","-1.79%"
"Automobile","Bajaj Auto","14-05-2024","9,065.25","8,952.25","9,089.00","8,882.75","408.16K","0.81%"
"Automobile","Bajaj Auto","13-05-2024","8,992.30","9,022.90","9,025.00","8,870.50","435.61K","0.12%"
"Automobile","Bajaj Auto","10-05-2024","8,981.80","8,950.00","9,047.95","8,906.50","482.80K","1.53%"
"Automobile","Bajaj Auto","09-05-2024","8,846.85","8,800.00","9,007.45","8,786.35","645.69K","1.11%"
"Automobile","Bajaj Auto","08-05-2024","8,749.40","8,651.00","8,785.35","8,592.80","451.58K","0.82%"
"Automobile","Bajaj Auto","07-05-2024","8,677.90","9,055.15","9,074.95","8,642.55","588.29K","-4.14%"
"Automobile","Bajaj Auto","06-05-2024","9,052.55","9,120.00","9,185.75","8,810.55","458.43K","-0.58%"
"Automobile","Bajaj Auto","03-05-2024","9,105.60","9,170.00","9,258.60","9,064.35","396.04K","-0.06%"
"Automobile","Bajaj Auto","02-05-2024","9,110.65","8,944.00","9,146.45","8,826.10","638.24K","2.32%"
"Automobile","Bajaj Auto","30-04-2024","8,903.65","8,799.40","8,966.00","8,795.00","360.40K","1.64%"
"Automobile","Bajaj Auto","29-04-2024","8,760.10","8,974.30","8,989.80","8,729.00","299.44K","-2.39%"
"Automobile","Bajaj Auto","26-04-2024","8,974.30","8,747.30","8,994.95","8,734.55","521.34K","2.74%"
"Automobile","Bajaj Auto","25-04-2024","8,734.90","8,697.00","8,770.00","8,641.40","524.67K","0.43%"
"Automobile","Bajaj Auto","24-04-2024","8,697.10","8,819.90","8,869.00","8,680.00","319.82K","-1.12%"
"Automobile","Bajaj Auto","23-04-2024","8,795.80","8,845.00","8,861.50","8,761.00","295.35K","0.00%"
"Automobile","Bajaj Auto","22-04-2024","8,795.75","8,884.00","8,884.00","8,745.00","323.73K","-0.10%"
"Automobile","Bajaj Auto","19-04-2024","8,804.50","9,075.05","9,090.00","8,700.05","1.39M","-2.40%"
"Automobile","Bajaj Auto","18-04-2024","9,021.30","8,967.90","9,129.00","8,950.00","819.24K","1.15%"
"Automobile","Bajaj Auto","16-04-2024","8,919.15","8,948.00","9,029.45","8,784.10","487.53K","-0.87%"
"Automobile","Bajaj Auto","15-04-2024","8,997.05","9,059.10","9,177.70","8,945.00","386.71K","-0.75%"
"Automobile","Bajaj Auto","12-04-2024","9,064.85","8,949.05","9,119.00","8,930.00","480.47K","0.66%"
"Automobile","Bajaj Auto","10-04-2024","9,005.55","9,034.80","9,049.80","8,901.35","319.82K","0.30%"
"Automobile","Bajaj Auto","09-04-2024","8,978.90","9,090.00","9,132.70","8,936.40","237.94K","-0.57%"
"Automobile","Bajaj Auto","08-04-2024","9,030.50","9,049.00","9,090.00","8,951.30","376.20K","0.23%"
"Automobile","Bajaj Auto","05-04-2024","9,009.50","9,130.00","9,130.00","9,000.50","356.31K","-1.49%"
"Automobile","Bajaj Auto","04-04-2024","9,146.15","9,139.00","9,181.75","8,988.05","617.93K","0.72%"
"Automobile","Bajaj Auto","03-04-2024","9,080.45","9,248.95","9,248.95","9,065.20","453.21K","-2.11%"
"Automobile","Bajaj Auto","02-04-2024","9,276.10","9,150.00","9,357.95","9,139.50","803.85K","2.59%"
"Automobile","Bajaj Auto","01-04-2024","9,042.15","9,194.80","9,211.60","9,013.10","419.82K","-1.16%"
"Automobile","Bajaj Auto","28-03-2024","9,148.15","9,162.50","9,243.60","8,980.05","847.20K","-0.16%"
"Automobile","Bajaj Auto","27-03-2024","9,162.50","8,959.00","9,287.80","8,926.70","1.03M","2.25%"
"Automobile","Bajaj Auto","26-03-2024","8,960.55","8,945.25","9,020.00","8,851.05","534.07K","0.17%"
"Automobile","Bajaj Auto","22-03-2024","8,945.25","8,700.05","9,050.00","8,682.00","851.21K","2.22%"
"Automobile","Bajaj Auto","21-03-2024","8,750.60","8,608.20","8,770.00","8,585.00","720.69K","1.33%"
"Automobile","Bajaj Auto","20-03-2024","8,635.60","8,640.00","8,784.00","8,562.00","790.89K","-0.05%"
"Automobile","Bajaj Auto","19-03-2024","8,640.20","8,500.00","8,687.90","8,442.55","673.46K","1.39%"
"Automobile","Bajaj Auto","18-03-2024","8,521.80","8,343.00","8,547.15","8,294.20","367.52K","2.05%"
"Automobile","Bajaj Auto","15-03-2024","8,350.70","8,384.80","8,432.10","8,110.00","676.87K","-0.39%"
"Automobile","Bajaj Auto","14-03-2024","8,383.55","8,330.50","8,400.00","8,202.05","392.63K","-0.02%"
"Automobile","Bajaj Auto","13-03-2024","8,384.90","8,527.70","8,617.20","8,296.95","430.05K","-1.67%"
"Automobile","Bajaj Auto","12-03-2024","8,527.70","8,636.95","8,699.95","8,475.25","324.86K","-1.52%"
"Automobile","Bajaj Auto","11-03-2024","8,659.40","9,023.45","9,025.00","8,630.00","631.96K","-2.47%"
"Automobile","Bajaj Auto","07-03-2024","8,879.05","8,638.00","8,972.85","8,500.05","1.24M","3.18%"
"Automobile","Bajaj Auto","06-03-2024","8,605.80","8,369.70","8,681.15","8,364.00","959.54K","3.04%"
"Automobile","Bajaj Auto","05-03-2024","8,351.75","8,160.05","8,388.00","8,160.05","615.12K","1.76%"
"Automobile","Bajaj Auto","04-03-2024","8,207.30","8,068.75","8,225.00","8,046.65","410.05K","2.06%"
"Automobile","Bajaj Auto","02-03-2024","8,041.30","8,063.35","8,107.25","8,030.05","14.97K","0.02%"
"Automobile","Bajaj Auto","01-03-2024","8,040.05","7,955.00","8,094.00","7,945.30","399.01K","1.65%"
"Automobile","Bajaj Auto","29-02-2024","7,909.35","7,997.40","8,143.50","7,890.00","1.04M","-3.41%"
"Automobile","Bajaj Auto","28-02-2024","8,188.65","8,470.00","8,486.65","8,071.85","537.73K","-3.25%"
"Automobile","Bajaj Auto","27-02-2024","8,463.50","8,460.00","8,490.00","8,383.50","392.45K","0.18%"
"Automobile","Bajaj Auto","26-02-2024","8,448.00","8,458.80","8,547.95","8,375.00","345.97K","0.13%"
"Automobile","Bajaj Auto","23-02-2024","8,436.95","8,497.50","8,531.00","8,401.05","340.75K","-0.72%"
"Automobile","Bajaj Auto","22-02-2024","8,498.45","8,260.00","8,550.00","8,220.00","548.49K","3.23%"
"Automobile","Bajaj Auto","21-02-2024","8,232.25","8,300.00","8,376.85","8,205.00","439.82K","-0.76%"
"Automobile","Bajaj Auto","20-02-2024","8,295.20","8,505.00","8,505.00","8,238.70","547.08K","-2.52%"
"Automobile","Bajaj Auto","19-02-2024","8,509.70","8,400.00","8,650.00","8,361.10","1.04M","2.22%"
"Automobile","Bajaj Auto","16-02-2024","8,325.05","8,185.85","8,455.45","8,137.10","938.76K","2.49%"
"Automobile","Bajaj Auto","15-02-2024","8,123.05","8,120.60","8,156.85","8,045.30","394.53K","0.49%"
"Automobile","Bajaj Auto","14-02-2024","8,083.30","7,899.00","8,136.85","7,880.00","513.90K","2.10%"
"Automobile","Bajaj Auto","13-02-2024","7,917.40","7,830.00","7,935.15","7,811.95","258.77K","1.12%"
"Automobile","Bajaj Auto","12-02-2024","7,829.95","7,775.00","7,874.20","7,766.05","219.91K","0.58%"
"Automobile","Bajaj Auto","09-02-2024","7,784.85","7,778.80","7,790.50","7,669.00","173.56K","0.36%"
"Automobile","Bajaj Auto","08-02-2024","7,757.25","7,729.00","7,783.45","7,668.15","282.54K","0.72%"
"Automobile","Bajaj Auto","07-02-2024","7,701.90","7,745.00","7,777.80","7,665.60","159.78K","-0.24%"
"Automobile","Bajaj Auto","06-02-2024","7,720.40","7,675.00","7,747.70","7,670.60","131.99K","0.81%"
"Automobile","Bajaj Auto","05-02-2024","7,658.25","7,800.00","7,838.00","7,633.50","252.40K","-1.03%"
"Automobile","Bajaj Auto","02-02-2024","7,738.20","7,675.00","7,797.50","7,665.60","197.72K","1.08%"
"Automobile","Bajaj Auto","01-02-2024","7,655.75","7,680.00","7,765.00","7,636.35","394.56K","-0.15%"
"Automobile","Bajaj Auto","31-01-2024","7,667.55","7,566.40","7,686.00","7,515.10","336.87K","1.34%"
"Automobile","Bajaj Auto","30-01-2024","7,566.40","7,574.90","7,660.00","7,543.65","266.29K","0.23%"
"Automobile","Bajaj Auto","29-01-2024","7,548.80","7,594.00","7,640.00","7,480.00","457.85K","-0.64%"
"Automobile","Bajaj Auto","25-01-2024","7,597.50","7,360.00","7,625.15","7,210.00","2.07M","5.33%"
"Automobile","Bajaj Auto","24-01-2024","7,212.85","7,075.10","7,237.00","7,028.20","467.13K","1.65%"
"Automobile","Bajaj Auto","23-01-2024","7,095.90","7,075.00","7,210.00","6,936.55","953.92K","0.01%"
"Automobile","Bajaj Auto","20-01-2024","7,095.15","7,170.00","7,189.00","7,050.00","91.48K","-0.58%"
"Automobile","Bajaj Auto","19-01-2024","7,136.55","7,138.80","7,180.00","7,105.00","327.98K","0.75%"
"Automobile","Bajaj Auto","18-01-2024","7,083.60","7,148.00","7,189.25","7,071.15","557.08K","-1.15%"
"Automobile","Bajaj Auto","17-01-2024","7,165.95","7,112.00","7,210.00","7,081.00","619.34K","-1.75%"
"Automobile","Bajaj Auto","16-01-2024","7,293.95","7,339.00","7,356.15","7,244.00","272.18K","-0.52%"
"Automobile","Bajaj Auto","15-01-2024","7,332.10","7,364.00","7,419.00","7,304.05","440.41K","0.41%"
"Automobile","Bajaj Auto","12-01-2024","7,301.95","7,360.00","7,360.95","7,252.00","434.75K","0.04%"
"Automobile","Bajaj Auto","11-01-2024","7,298.85","7,090.00","7,324.90","7,075.00","1.03M","3.47%"
"Automobile","Bajaj Auto","10-01-2024","7,053.75","7,125.00","7,139.95","7,020.00","721.43K","-0.57%"
"Automobile","Bajaj Auto","09-01-2024","7,093.90","7,341.00","7,399.00","7,075.90","2.13M","1.58%"
"Automobile","Bajaj Auto","08-01-2024","6,983.85","7,018.95","7,049.85","6,961.50","312.73K","0.08%"
"Automobile","Bajaj Auto","05-01-2024","6,978.50","6,950.00","7,084.00","6,920.50","659.31K","0.81%"
"Automobile","Bajaj Auto","04-01-2024","6,922.15","7,025.00","7,028.95","6,887.00","619.99K","-0.92%"
"Automobile","Bajaj Auto","03-01-2024","6,986.50","6,644.05","7,059.85","6,604.00","1.26M","4.82%"
"Automobile","Bajaj Auto","02-01-2024","6,665.05","6,711.00","6,736.80","6,560.95","361.38K","-0.54%"
"Automobile","Bajaj Auto","01-01-2024","6,701.10","6,770.00","6,795.50","6,682.05","253.27K","-1.41%"
"Automobile","Bajaj Auto","29-12-2023","6,797.25","6,729.95","6,833.95","6,666.00","345.63K","1.40%"
"Automobile","Bajaj Auto","28-12-2023","6,703.30","6,709.65","6,738.65","6,666.00","406.23K","-0.09%"
"Automobile","Bajaj Auto","27-12-2023","6,709.65","6,470.00","6,740.25","6,465.20","1.02M","3.79%"
"Automobile","Bajaj Auto","26-12-2023","6,464.55","6,379.85","6,475.00","6,370.05","302.14K","1.45%"
"Automobile","Bajaj Auto","22-12-2023","6,372.10","6,288.00","6,395.00","6,264.25","237.21K","2.01%"
"Automobile","Bajaj Auto","21-12-2023","6,246.35","6,333.20","6,345.00","6,232.00","397.72K","-1.86%"
"Automobile","Bajaj Auto","20-12-2023","6,364.45","6,434.00","6,466.00","6,350.00","385.86K","-0.85%"
"Automobile","Bajaj Auto","19-12-2023","6,419.00","6,470.00","6,470.25","6,395.90","377.11K","-0.72%"
"Automobile","Bajaj Auto","18-12-2023","6,465.70","6,275.20","6,486.75","6,262.15","851.06K","3.04%"
"Automobile","Bajaj Auto","15-12-2023","6,275.20","6,368.95","6,402.10","6,256.15","553.52K","-0.94%"
"Automobile","Bajaj Auto","14-12-2023","6,334.85","6,325.00","6,360.00","6,284.20","419.21K","0.30%"
"Automobile","Bajaj Auto","13-12-2023","6,316.10","6,259.90","6,329.00","6,224.35","373.99K","0.99%"
"Automobile","Bajaj Auto","12-12-2023","6,254.20","6,164.00","6,299.95","6,149.95","810.90K","1.89%"
"Automobile","Bajaj Auto","11-12-2023","6,138.40","6,085.00","6,145.00","6,018.30","175.96K","1.03%"
"Automobile","Bajaj Auto","08-12-2023","6,075.70","6,115.00","6,120.00","6,048.05","233.27K","-0.29%"
"Automobile","Bajaj Auto","07-12-2023","6,093.60","6,069.95","6,154.45","6,063.10","427.41K","0.39%"
"Automobile","Bajaj Auto","06-12-2023","6,069.95","6,089.05","6,096.00","5,987.85","699.20K","-1.14%"
"Automobile","Bajaj Auto","05-12-2023","6,140.10","6,194.05","6,194.05","6,111.10","565.83K","-0.99%"
"Automobile","Bajaj Auto","04-12-2023","6,201.70","6,090.55","6,217.70","6,087.45","359.16K","2.57%"
"Automobile","Bajaj Auto","01-12-2023","6,046.05","6,050.00","6,090.00","6,003.30","439.02K","-0.73%"
"Automobile","Bajaj Auto","30-11-2023","6,090.55","6,095.00","6,128.90","6,031.00","501.83K","0.34%"
"Automobile","Bajaj Auto","29-11-2023","6,069.95","6,010.00","6,096.40","5,973.30","406.97K","1.20%"
